     eType,  uiId,     Hits,  TotalTime,                                   GUID, Name
 Dxgkernel,  6054,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceCreateVidPnCopy
 Dxgkernel,  6055,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceReleaseVidPn
 Dxgkernel,  6056,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceIsUsingDefaultMonitorProfile
 Dxgkernel,  6057,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceIsMonitorConnected
 Dxgkernel,  6058,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceRemoveCopyProtection
 Dxgkernel,  6059,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceGetPathImportance
 Dxgkernel,  6060,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceGetNumPaths
 Dxgkernel,  6061,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DmmInterfaceEnumPaths
 Dxgkernel,  8000,      151,     367209, {802EC45A-1E99-4B83-9920-87C98277BA9D}, ProbeAndLockPages
 Dxgkernel,  8001,      123,     141117, {802EC45A-1E99-4B83-9920-87C98277BA9D}, UnlockPages
 Dxgkernel,  8002,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, MapViewOfAllocation
 Dxgkernel,  8003,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, UnmapViewOfAllocation
 Dxgkernel,  8004,       11,       7474, {802EC45A-1E99-4B83-9920-87C98277BA9D}, ProcessHeapAllocate
 Dxgkernel,  8005,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, ProcessHeapRotate
 Dxgkernel,  8006,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, BootInt10ModeChange
 Dxgkernel,  8007,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, ResumeInt10ModeChange
 Dxgkernel,  8008,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, FlushAllocationCache
 Dxgkernel,  8009,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, NotifyVSync
 Dxgkernel, 11000,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkOutputDuplDXGDXGIKEYEDMUTEXOpenLocalMutex
 Dxgkernel, 11001,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkOutputDuplDXGDXGIKEYEDMUTEXDestroyLocalMutex
 Dxgkernel, 11002,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkOutputDuplAccumulateMetadata
 Dxgkernel, 12000,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, BLTQUEUE_Present
 Dxgkernel, 13050,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCbSendUserModeMessage
      DXVA,     0,        0,          0, {B4DE17A1-C5B2-44FE-86D5-D97A648114FF}, Decode Create Device
      DXVA,     1,        0,          0, {853EBDF2-4160-421D-8893-63DCEA4F18BB}, Decode Destroy Device
      DXVA,     2,        0,          0, {9FD1ACF6-44CB-4637-BC62-2C11A9608F90}, Decode Begin Frame
      DXVA,     3,        0,          0, {850AEB4C-D19A-4609-B3B4-BCBF0E22121E}, Decode Execute
      DXVA,     4,        0,          0, {57B128FB-72CB-4137-A575-D91FA3160897}, Decode Get Buffer
